CONTRACT_ACCOUNT,201701,201702,201703,201704,201705,201706,201707,201708,201709,201710,201711,201712,201801,201802,201803,201804,201805,201806,201807,201808,201809,201810,201811,201812,201901,Grand Total
25,310.0,266.0,363.0,879.0,1140.0,1195.0,1312.0,881.0,1906.0,960.0,291.0,287.0,330.0,308.0,353.0,595.0,960.0,1400.0,2311.0,971.0,1059.0,867.0,330.0,261.0,236.0,19771
26,275.0,703.0,277.0,486.0,927.0,783.0,938.0,869.0,1582.0,704.0,296.0,176.0,202.0,197.0,260.0,355.0,582.0,1069.0,1719.0,640.0,706.0,520.0,273.0,296.0,723.0,15558
27,258.0,450.0,298.0,218.0,320.0,786.0,764.0,646.0,1287.0,545.0,294.0,190.0,517.0,476.0,325.0,198.0,299.0,554.0,2071.0,915.0,1078.0,505.0,220.0,216.0,506.0,13936
28,369.0,297.0,262.0,304.0,701.0,982.0,626.0,125.0,580.0,131.0,52.0,36.0,37.0,39.0,37.0,98.0,271.0,522.0,543.0,54.0,59.0,44.0,38.0,47.0,85.0,6339
29,60.0,51.0,70.0,64.0,103.0,109.0,148.0,207.0,254.0,165.0,105.0,98.0,107.0,109.0,120.0,123.0,154.0,215.0,438.0,201.0,222.0,108.0,136.0,111.0,119.0,3597
30,34.0,27.0,31.0,32.0,37.0,220.0,131.0,844.0,56.0,26.0,175.0,138.0,44.0,37.0,48.0,49.0,31.0,42.0,1111.0,1068.0,824.0,24.0,23.0,20.0,17.0,5089
31,285.0,218.0,264.0,275.0,507.0,779.0,637.0,605.0,856.0,341.0,300.0,211.0,206.0,223.0,244.0,238.0,356.0,649.0,1400.0,591.0,642.0,392.0,230.0,209.0,220.0,10878
32,196.0,164.0,172.0,251.0,544.0,788.0,707.0,757.0,1236.0,564.0,239.0,180.0,201.0,233.0,192.0,319.0,584.0,902.0,2125.0,1078.0,1145.0,700.0,328.0,178.0,193.0,13976
33,198.0,183.0,172.0,241.0,491.0,731.0,628.0,640.0,1065.0,392.0,243.0,165.0,177.0,118.0,174.0,229.0,512.0,675.0,1236.0,530.0,541.0,396.0,226.0,177.0,201.0,10341
34,259.0,162.0,181.0,163.0,164.0,406.0,443.0,440.0,644.0,295.0,166.0,147.0,183.0,182.0,181.0,148.0,170.0,375.0,880.0,359.0,397.0,212.0,185.0,187.0,202.0,7131
35,349.0,959.0,714.0,325.0,470.0,789.0,655.0,645.0,926.0,390.0,290.0,288.0,1110.0,1296.0,915.0,263.0,427.0,883.0,1735.0,633.0,537.0,387.0,252.0,322.0,1299.0,16859
36,242.0,189.0,238.0,247.0,518.0,718.0,604.0,645.0,1028.0,486.0,338.0,209.0,213.0,225.0,203.0,318.0,379.0,646.0,1449.0,661.0,825.0,472.0,264.0,210.0,228.0,11555
37,124.0,89.0,126.0,165.0,268.0,403.0,35.0,44.0,75.0,38.0,67.0,156.0,143.0,136.0,107.0,115.0,224.0,348.0,504.0,206.0,205.0,166.0,197.0,103.0,116.0,4160
38,191.0,102.0,167.0,243.0,259.0,352.0,594.0,547.0,1230.0,539.0,348.0,166.0,198.0,150.0,160.0,256.0,407.0,597.0,703.0,414.0,543.0,365.0,242.0,181.0,184.0,9138
39,179.0,147.0,172.0,192.0,315.0,395.0,343.0,380.0,613.0,283.0,229.0,161.0,162.0,165.0,174.0,194.0,273.0,454.0,813.0,328.0,320.0,209.0,116.0,170.0,146.0,6933
